id,opponent,date,attendee_id
1,"Chicago White Sox","04/13/2016, 07:10PM"
2,"Los Angeles Angels","04/16/2016, 01:10PM"
3,"Milwaukee Brewers","04/18/2016, 07:10PM"
4,"Cleveland Indians","04/25/2016, 07:10PM"
5,"Cleveland Indians","04/26/2016, 07:10PM"
6,"Detroit Tigers","04/30/2016, 01:10PM"
7,"Detroit Tigers","05/01/2016, 01:10PM"
8,"Baltimore Orioles","05/11/2016, 12:10PM"
9,"Toronto Blue Jays","05/19/2016, 07:10PM"
10,"Toronto Blue Jays","05/22/2016, 01:10PM"
11,"Kansas City Royals","05/23/2016, 07:10PM"
12,"Tampa Bay Rays","06/02/2016, 07:10PM"
13,"Tampa Bay Rays","06/03/2016, 07:10PM"
14,"Miami Marlins","06/07/2016, 07:10PM"
15,"Miami Marlins","06/08/2016, 07:10PM"
16,"Boston Red Sox","06/11/2016, 01:10PM"
17,"Boston Red Sox","06/12/2016, 01:10PM"
18,"New York Yankees","06/18/2016, 01:10PM"
19,"New York Yankees","06/19/2016, 01:10PM"
20,"Philadelphia Phillies","06/23/2016, 12:10PM"
21,"Texas Rangers","07/01/2016, 07:10PM"
22,"Oakland Athletics","07/04/2016, 01:10PM"
23,"Oakland Athletics","07/06/2016, 12:10PM"
24,"Cleveland Indians","07/16/2016, 06:10PM"
25,"Cleveland Indians","07/17/2016, 01:10PM"
26,"Chicago White Sox","07/30/2016, 06:10PM"
27,"Houston Astros","08/09/2016, 07:10PM"
28,"Houston Astros","08/10/2016, 07:10PM"
29,"Kansas City Royals","08/12/2016, 07:10PM"
30,"Kansas City Royals","08/14/2016, 01:10PM"
31,"Detroit Tigers","08/25/2016, 12:10PM"
32,"Chicago White Sox","09/02/2016, 07:10PM"
33,"Chicago White Sox","09/04/2016, 01:10PM"
34,"Kansas City Royals","09/05/2016, 01:10PM"
35,"Kansas City Royals","09/06/2016, 07:10PM"
36,"Cleveland Indians","09/09/2016, 07:10PM"
37,"Cleveland Indians","09/10/2016, 06:10PM"
38,"Detroit Tigers","09/21/2016, 07:10PM"
39,"Detroit Tigers","09/22/2016, 07:10PM"
40,"Seattle Mariners","09/25/2016, 01:10PM"
